surface,city,rooms,bathrooms,parking,pool,vue_panoramique,jardin,climatisation,chauffage_central,ascenseur,price
147.0,La Soukra,3.0,2.0,0,0,0,0,0,1,0,540000.0
69.0,La Mannouba,1.0,1.0,1,0,0,0,0,1,1,180000.0
45.0,El Aouina,0.0,1.0,0,0,0,0,1,1,1,145000.0
67.0,Cite Jardins,1.0,1.0,0,0,0,0,0,1,1,265000.0
118.0,La Soukra,2.0,2.0,1,0,0,0,1,1,1,420000.0
81.0,Jardins d'el Menzah,2.0,1.0,0,0,0,0,1,1,0,270000.0
140.0,Bab Bhar,3.0,1.0,0,0,0,0,0,0,0,150000.0
60.0,Cite Erriadh,1.0,1.0,0,0,0,1,0,1,0,185000.0
185.0,El Aouina,3.0,3.0,1,0,0,0,1,1,1,590000.0
106.0,El Aouina,2.0,1.0,0,0,0,0,0,1,1,246000.0
106.0,El Menzah 9,2.0,2.0,1,0,0,0,1,1,0,395000.0
66.0,Riadh Landlous,1.0,1.0,1,0,0,0,0,0,0,175000.0
106.0,Le Bardo,2.0,1.0,0,0,0,0,0,0,0,150000.0
106.0,Le Bardo,2.0,1.0,1,0,0,0,1,1,0,280000.0
106.0,El Aouina,2.0,1.0,0,0,0,0,1,1,0,290000.0
140.0,La Mannouba,3.0,1.0,1,0,0,0,0,0,0,250000.0
140.0,Cite Mohamed Ali,3.0,1.0,1,0,0,0,1,1,0,280000.0
115.0,El Medina,2.0,1.0,0,0,0,0,0,0,0,180000.0
55.0,El Medina,1.0,1.0,0,0,0,0,0,0,0,90000.0
85.0,Le Bardo,2.0,1.0,0,0,0,0,0,1,1,150000.0
85.0,Riadh Landlous,1.0,1.0,1,0,0,0,0,1,1,180000.0
122.0,Ain Zaghouan,3.0,2.0,1,0,0,0,0,1,1,300000.0
176.0,Jardins de Carthage,3.0,2.0,1,0,0,0,1,1,1,848000.0
160.0,Jardins de Carthage,3.0,2.0,1,0,0,0,1,1,1,785000.0
144.0,El Aouina,3.0,2.0,1,0,0,0,1,1,1,310000.0
135.0,El Aouina,2.0,1.0,1,0,0,0,1,1,0,350000.0
